"Date","Price","Open","High","Low","Change %"
"Nov 20, 2018","1,130.25","1,126.13","1,131.34","1,125.83","0.41%"
"Nov 21, 2018","1,128.12","1,130.25","1,134.71","1,127.10","-0.19%"
"Nov 22, 2018","1,132.10","1,128.42","1,132.60","1,128.00","0.35%"
"Nov 23, 2018","1,133.50","1,130.00","1,134.44","1,128.80","0.12%"
"Nov 26, 2018","1,129.79","1,133.50","1,134.50","1,126.60","-0.33%"
"Nov 27, 2018","1,130.51","1,129.79","1,131.83","1,127.50","0.06%"
"Nov 28, 2018","1,123.48","1,130.51","1,132.72","1,122.30","-0.62%"
"Nov 29, 2018","1,117.55","1,123.48","1,125.09","1,116.60","-0.53%"
"Nov 30, 2018","1,120.44","1,117.55","1,124.07","1,117.20","0.26%"
"Dec 03, 2018","1,109.54","1,120.56","1,120.62","1,108.65","-0.97%"
"Dec 04, 2018","1,111.51","1,109.54","1,114.40","1,104.70","0.18%"
"Dec 05, 2018","1,114.16","1,111.51","1,117.00","1,110.80","0.24%"
"Dec 06, 2018","1,118.70","1,114.16","1,123.90","1,112.30","0.41%"
"Dec 07, 2018","1,124.85","1,118.70","1,126.50","1,116.60","0.55%"
"Dec 10, 2018","1,128.37","1,124.89","1,131.27","1,122.65","0.31%"
"Dec 11, 2018","1,129.53","1,128.54","1,132.60","1,126.50","0.10%"
"Dec 12, 2018","1,124.82","1,129.53","1,130.60","1,123.40","-0.42%"
"Dec 13, 2018","1,125.55","1,124.82","1,127.52","1,121.39","0.06%"
"Dec 14, 2018","1,132.70","1,125.55","1,135.89","1,124.60","0.64%"
"Dec 17, 2018","1,129.55","1,132.73","1,134.15","1,128.75","-0.28%"
"Dec 18, 2018","1,127.53","1,129.20","1,132.90","1,126.40","-0.18%"
"Dec 19, 2018","1,129.71","1,127.53","1,130.05","1,121.16","0.19%"
"Dec 20, 2018","1,122.78","1,129.71","1,131.95","1,120.80","-0.61%"
"Dec 21, 2018","1,129.04","1,122.76","1,129.88","1,119.89","0.56%"
"Dec 24, 2018","1,124.87","1,129.00","1,129.71","1,123.90","-0.37%"
"Dec 25, 2018","1,125.40","1,125.17","1,126.82","1,123.20","0.05%"
"Dec 26, 2018","1,123.66","1,123.36","1,127.81","1,122.38","-0.15%"
"Dec 27, 2018","1,120.08","1,124.66","1,124.66","1,118.90","-0.32%"
"Dec 28, 2018","1,117.05","1,120.08","1,122.42","1,113.80","-0.27%"
"Dec 31, 2018","1,114.30","1,117.05","1,117.70","1,110.80","-0.25%"
