"Date","Price","Open","High","Low","Change %"
"Aug 07, 2020","5.4383","5.3442","5.4394","5.3401","2.00%"
"Aug 06, 2020","5.3315","5.2915","5.3721","5.2915","0.78%"
"Aug 05, 2020","5.2902","5.2439","5.3204","5.2317","0.00%"
"Aug 04, 2020","5.2900","5.3205","5.3775","5.2744","-0.59%"
"Aug 03, 2020","5.3213","5.2223","5.3364","5.2115","1.86%"
"Jul 31, 2020","5.2240","5.1541","5.2298","5.1531","1.37%"
"Jul 30, 2020","5.1534","5.1705","5.2165","5.1435","-0.31%"
"Jul 29, 2020","5.1692","5.1383","5.1845","5.1145","0.31%"
"Jul 28, 2020","5.1533","5.1493","5.2045","5.1346","0.17%"
"Jul 27, 2020","5.1447","5.2332","5.2332","5.1410","-1.69%"
"Jul 24, 2020","5.2329","5.2127","5.2533","5.1596","0.42%"
"Jul 23, 2020","5.2112","5.1191","5.2262","5.1188","1.85%"
"Jul 22, 2020","5.1166","5.1707","5.2028","5.0827","-1.06%"
"Jul 21, 2020","5.1713","5.3291","5.3291","5.1647","-2.95%"
"Jul 20, 2020","5.3283","5.3870","5.3913","5.3269","-1.05%"
"Jul 17, 2020","5.3849","5.3243","5.3923","5.3155","1.01%"
"Jul 16, 2020","5.3311","5.3697","5.3928","5.3064","-0.72%"
"Jul 15, 2020","5.3698","5.3096","5.3910","5.2917","0.04%"
"Jul 14, 2020","5.3674","5.4032","5.4542","5.3306","-0.68%"
"Jul 13, 2020","5.4040","5.3130","5.4098","5.3105","1.51%"
"Jul 10, 2020","5.3238","5.3390","5.3946","5.3128","-0.33%"
"Jul 09, 2020","5.3413","5.3450","5.3788","5.2450","-0.02%"
"Jul 08, 2020","5.3422","5.3840","5.3941","5.3178","-0.68%"
"Jul 07, 2020","5.3790","5.3559","5.4017","5.2880","0.43%"
"Jul 06, 2020","5.3562","5.3150","5.3592","5.2609","0.76%"
"Jul 03, 2020","5.3158","5.3523","5.3807","5.3047","-0.82%"
"Jul 02, 2020","5.3596","5.3185","5.3752","5.2656","0.79%"
"Jul 01, 2020","5.3174","5.4660","5.4763","5.2985","-2.72%"
"Jun 30, 2020","5.4661","5.4005","5.5082","5.4005","1.16%"
"Jun 29, 2020","5.4034","5.4847","5.4847","5.3892","-1.47%"
"Jun 26, 2020","5.4840","5.3608","5.4931","5.3608","2.39%"
"Jun 25, 2020","5.3561","5.3476","5.3802","5.2663","0.18%"
"Jun 24, 2020","5.3467","5.1525","5.3549","5.1525","3.73%"
"Jun 23, 2020","5.1542","5.2524","5.2537","5.1336","-1.87%"
"Jun 22, 2020","5.2524","5.2904","5.2968","5.1972","-1.09%"
"Jun 19, 2020","5.3105","5.3780","5.3821","5.2881","-1.25%"
"Jun 18, 2020","5.3776","5.2291","5.3884","5.2277","2.85%"
"Jun 17, 2020","5.2286","5.2446","5.2716","5.1814","-0.27%"
"Jun 16, 2020","5.2430","5.1173","5.2549","5.0477","1.69%"
"Jun 15, 2020","5.1557","5.1314","5.2260","5.0786","2.08%"
"Jun 12, 2020","5.0505","4.9774","5.1118","4.9765","1.50%"
"Jun 11, 2020","4.9760","4.9740","4.9765","4.9740","0.06%"
