"Date","Price","Open","High","Low","Change %"
"Jul 16, 2019","0.8918","0.8883","0.8928","0.8878","0.41%"
"Jul 17, 2019","0.8909","0.8920","0.8929","0.8901","-0.10%"
"Jul 18, 2019","0.8866","0.8910","0.8925","0.8864","-0.48%"
"Jul 19, 2019","0.8909","0.8867","0.8926","0.8863","0.48%"
"Jul 22, 2019","0.8919","0.8914","0.8924","0.8908","0.11%"
"Jul 23, 2019","0.8965","0.8921","0.8972","0.8920","0.52%"
"Jul 24, 2019","0.8976","0.8967","0.8988","0.8961","0.12%"
"Jul 25, 2019","0.8970","0.8975","0.9008","0.8938","-0.07%"
"Jul 26, 2019","0.8986","0.8971","0.9000","0.8967","0.18%"
"Jul 29, 2019","0.8973","0.8988","0.8999","0.8967","-0.14%"
"Jul 30, 2019","0.8963","0.8974","0.8984","0.8960","-0.11%"
"Jul 31, 2019","0.9027","0.8964","0.9042","0.8958","0.71%"
"Aug 01, 2019","0.9020","0.9029","0.9069","0.9012","-0.08%"
"Aug 02, 2019","0.9000","0.9021","0.9034","0.8995","-0.22%"
"Aug 05, 2019","0.8926","0.9007","0.9007","0.8918","-0.82%"
"Aug 06, 2019","0.8927","0.8927","0.8954","0.8888","0.01%"
"Aug 07, 2019","0.8928","0.8929","0.8946","0.8895","0.01%"
"Aug 08, 2019","0.8943","0.8929","0.8947","0.8903","0.17%"
"Aug 09, 2019","0.8927","0.8944","0.8945","0.8910","-0.18%"
"Aug 12, 2019","0.8917","0.8925","0.8960","0.8903","-0.11%"
"Aug 13, 2019","0.8951","0.8917","0.8953","0.8905","0.38%"
"Aug 14, 2019","0.8977","0.8952","0.8985","0.8935","0.29%"
"Aug 15, 2019","0.9003","0.8978","0.9017","0.8961","0.29%"
"Aug 16, 2019","0.9016","0.9003","0.9037","0.8998","0.14%"
"Aug 19, 2019","0.9025","0.9015","0.9029","0.8997","0.10%"
"Aug 20, 2019","0.9007","0.9026","0.9037","0.9003","-0.20%"
"Aug 21, 2019","0.9020","0.9009","0.9025","0.9003","0.14%"
"Aug 22, 2019","0.9024","0.9021","0.9039","0.8998","0.04%"
"Aug 23, 2019","0.8973","0.9025","0.9049","0.8965","-0.57%"
"Aug 26, 2019","0.9006","0.8972","0.9014","0.8956","0.37%"
"Aug 27, 2019","0.9016","0.9007","0.9021","0.8996","0.11%"
"Aug 28, 2019","0.9027","0.9017","0.9032","0.9010","0.12%"
"Aug 29, 2019","0.9042","0.9028","0.9057","0.9015","0.17%"
"Aug 30, 2019","0.9097","0.9044","0.9122","0.9040","0.61%"
"Sep 02, 2019","0.9116","0.9100","0.9126","0.9091","0.21%"
"Sep 03, 2019","0.9111","0.9115","0.9153","0.9108","-0.05%"
