"Date","Price","Open","High","Low","Change %"
"May 08, 2017","30.164","30.175","30.243","30.075","-0.12%"
"May 05, 2017","30.200","30.155","30.339","30.110","0.22%"
"May 04, 2017","30.133","30.067","30.203","30.026","0.27%"
"May 03, 2017","30.053","30.062","30.099","29.895","0.00%"
"May 02, 2017","30.052","30.220","30.254","29.935","-0.52%"
"May 01, 2017","30.210","30.217","30.291","30.170","0.08%"
"Apr 28, 2017","30.187","30.187","30.293","30.100","0.08%"
"Apr 27, 2017","30.163","30.136","30.240","30.055","0.13%"
"Apr 26, 2017","30.125","30.142","30.181","29.916","-0.05%"
"Apr 25, 2017","30.141","30.268","30.269","30.024","-0.42%"
"Apr 24, 2017","30.267","30.353","30.369","30.125","-0.34%"
"Apr 21, 2017","30.370","30.404","30.419","30.255","-0.11%"
"Apr 20, 2017","30.404","30.414","30.493","30.354","-0.04%"
"Apr 19, 2017","30.415","30.408","30.474","30.345","0.05%"
"Apr 18, 2017","30.401","30.354","30.502","30.265","0.18%"
"Apr 17, 2017","30.345","30.401","30.409","30.245","-0.14%"
"Apr 14, 2017","30.388","30.322","30.459","30.277","0.22%"
"Apr 13, 2017","30.320","30.401","30.468","30.195","-0.25%"
"Apr 12, 2017","30.395","30.645","30.701","30.364","-0.82%"
"Apr 11, 2017","30.647","30.644","30.703","30.525","0.01%"
"Apr 10, 2017","30.645","30.595","30.709","30.546","0.12%"
"Apr 07, 2017","30.607","30.465","30.664","30.465","0.17%"
"Apr 06, 2017","30.554","30.400","30.603","30.335","0.54%"
"Apr 05, 2017","30.390","30.476","30.495","30.316","-0.29%"
"Apr 04, 2017","30.477","30.409","30.611","30.340","0.30%"
"Apr 03, 2017","30.386","30.336","30.434","30.297","0.18%"
"Mar 31, 2017","30.330","30.322","30.436","30.275","0.06%"
"Mar 30, 2017","30.313","30.279","30.348","30.175","0.45%"
"Mar 29, 2017","30.177","30.200","30.316","30.125","-0.29%"
"Mar 28, 2017","30.264","30.257","30.279","30.105","0.06%"
"Mar 27, 2017","30.245","30.370","30.404","29.986","-0.41%"
"Mar 24, 2017","30.369","30.474","30.523","30.284","-0.35%"
"Mar 23, 2017","30.477","30.504","30.554","30.421","-0.06%"
"Mar 22, 2017","30.495","30.492","30.577","30.411","-0.05%"
"Mar 21, 2017","30.511","30.546","30.549","30.355","0.42%"
"Mar 20, 2017","30.383","30.523","30.594","30.348","-0.49%"
"Mar 17, 2017","30.533","30.668","30.705","30.496","0.10%"
"Mar 16, 2017","30.504","30.521","30.689","30.463","0.01%"
"Mar 15, 2017","30.501","30.948","30.971","30.440","-1.49%"
"Mar 14, 2017","30.963","30.933","31.013","30.865","0.10%"
"Mar 13, 2017","30.933","30.991","31.059","30.875","-0.46%"
"Mar 10, 2017","31.075","31.061","31.195","30.992","0.17%"
"Mar 09, 2017","31.023","30.895","31.148","30.873","0.32%"
"Mar 08, 2017","30.925","30.954","31.051","30.790","0.13%"
"Mar 07, 2017","30.885","31.007","31.030","30.820","-0.31%"
"Mar 06, 2017","30.980","30.921","31.020","30.825","0.19%"
"Mar 03, 2017","30.921","30.869","31.088","30.790","0.03%"
"Mar 02, 2017","30.913","30.781","30.965","30.706","0.46%"
"Mar 01, 2017","30.771","30.666","30.898","30.623","0.38%"
"Feb 28, 2017","30.656","30.666","30.780","30.569","0.00%"
"Feb 27, 2017","30.656","30.685","30.797","30.649","0.00%"
"Feb 24, 2017","30.655","30.742","30.759","30.602","-0.31%"
"Feb 23, 2017","30.750","30.807","30.844","30.599","-0.10%"
"Feb 22, 2017","30.782","30.802","30.872","30.655","-0.04%"
"Feb 21, 2017","30.793","30.808","30.889","30.712","-0.02%"
"Feb 20, 2017","30.799","30.925","30.925","30.745","-0.31%"
"Feb 17, 2017","30.896","30.794","30.952","30.705","0.33%"
"Feb 16, 2017","30.794","30.773","30.840","30.625","0.11%"
"Feb 15, 2017","30.761","30.755","30.880","30.645","-0.03%"
"Feb 14, 2017","30.770","30.964","31.052","30.657","-0.61%"
"Feb 13, 2017","30.960","30.984","31.096","30.935","-0.03%"
"Feb 10, 2017","30.969","31.046","31.161","30.899","-0.24%"
"Feb 09, 2017","31.045","31.051","31.128","30.942","-0.18%"
"Feb 08, 2017","31.100","31.056","31.184","30.974","0.18%"
