,us,eu,china,korea,taiwan,date
305,37445,66898,80691,168378,172399,2016/2/11
306,36975,66863,80498,170972,169291,2016/2/12
307,37017,68718,80649,170302,169659,2016/2/13
308,36721,68830,80826,176247,170066,2016/2/14
309,38045,70034,80111,171319,168461,2016/2/15
310,38549,71092,80894,170961,169023,2016/2/16
311,37751,70131,80850,170840,171987,2016/2/17
312,37687,71145,81444,169841,171469,2016/2/18
313,36643,70219,81161,170871,168934,2016/2/19
314,37103,71041,80606,170510,173044,2016/2/20
315,37005,72206,80236,172447,169942,2016/2/21
316,38296,72393,79741,180393,172703,2016/2/22
317,38184,72013,80225,175913,171702,2016/2/23
318,38887,74248,81443,176934,171307,2016/2/24
319,38362,73663,80086,186514,169014,2016/2/25
320,37344,71287,80485,180474,168949,2016/2/26
321,37094,71347,80471,180545,169895,2016/2/27
322,38036,73583,81340,184149,168641,2016/2/28
323,39548,72665,80002,167620,171496,2016/2/29
324,38231,72498,80656,169703,171596,2016/3/1
325,38755,72340,80842,167611,169896,2016/3/2
326,38342,73522,81431,170131,169683,2016/3/3
327,37611,71940,81250,170117,169473,2016/3/4
328,37743,72716,81132,170660,171115,2016/3/5
329,37807,73257,80788,172667,169195,2016/3/6
330,39066,73081,80843,173311,170357,2016/3/7
331,39234,74046,80998,169652,168832,2016/3/8
332,38740,75529,80424,178544,168102,2016/3/9
333,38432,75537,80788,169664,170747,2016/3/10
334,38210,76288,81034,169409,170463,2016/3/11
335,38601,76647,81049,168799,168545,2016/3/12
336,38878,77755,81108,171537,169046,2016/3/13
337,39052,77953,81340,171706,171029,2016/3/14
338,39690,,80600,176147,169093,2016/3/15
339,39349,,81032,174235,168070,2016/3/16
340,39646,,81427,173561,169989,2016/3/17
341,39665,83331,80088,170440,168911,2016/3/18
342,39089,82898,81575,173224,169823,2016/3/19
343,39427,85114,81385,178375,168765,2016/3/20
344,39976,85201,81257,172917,170647,2016/3/21
345,36435,85747,81679,178606,174242,2016/3/22
346,,85249,,,,2016/3/23
347,40446,85115,,,,2016/3/24
348,39976,86039,81159,172804,,2016/3/25
349,39901,84286,81545,181464,,2016/3/26
350,40005,85639,81316,179004,,2016/3/27
351,40882,86679,80858,171901,,2016/3/28
352,41046,85715,81216,183302,,2016/3/29
353,40536,84858,81502,185392,,2016/3/30
354,40267,84179,82210,160612,,2016/3/31
355,39922,82937,80997,173374,,2016/4/1
356,39859,84174,81146,172760,,2016/4/2
357,40380,83731,81361,176349,,2016/4/3
358,40997,83855,81689,167801,,2016/4/4
359,41069,84199,82016,185768,,2016/4/5
360,40842,84629,82228,174190,,2016/4/6
361,40169,85222,81464,174341,,2016/4/7
362,40615,85057,81646,175749,,2016/4/8
363,39831,83155,81453,181921,,2016/4/9
364,40122,84411,81180,174323,,2016/4/10
365,40941,84254,82043,170410,,2016/4/11
366,42493,84014,81650,177517,,2016/4/12
367,42204,84895,81835,178446,,2016/4/13
368,41680,87305,81798,173149,171199,2016/4/14
369,41004,84932,82032,179471,170761,2016/4/15
370,40591,85095,81760,177623,172532,2016/4/16
371,40139,84612,81595,177137,177097,2016/4/17
372,43198,85004,81670,178198,171298,2016/4/18
373,43408,83457,82303,178417,170832,2016/4/19
374,43012,87629,81194,179354,173834,2016/4/20
375,42076,85864,81954,179682,172171,2016/4/21
376,41818,87153,81808,181191,170106,2016/4/22
377,41118,86019,81959,178068,171452,2016/4/23
378,41561,86722,81447,179672,170611,2016/4/24
379,42525,85073,81473,178822,172324,2016/4/25
380,43314,83935,82135,180621,200822,2016/4/26
381,43143,85425,82127,176699,184841,2016/4/27
382,42870,87379,82503,180742,182766,2016/4/28
383,42075,84251,83360,179231,187408,2016/4/29
384,41981,84342,83046,175386,179329,2016/4/30
385,41821,84507,82949,182932,181551,2016/5/1
386,43374,85483,83514,174688,180560,2016/5/2
387,44126,84923,84262,174756,180829,2016/5/3
388,45248,86190,86133,178229,183700,2016/5/4
389,43773,87143,86464,182792,185915,2016/5/5
390,44423,86230,89195,178881,182317,2016/5/6
391,43830,86458,89632,177506,189670,2016/5/7
392,43640,86934,93130,179969,194463,2016/5/8
393,45623,87864,92861,185607,190235,2016/5/9
394,47299,88145,94476,179746,199051,2016/5/10
395,47928,91658,95505,178692,201967,2016/5/11
396,47795,89007,90353,179077,197693,2016/5/12
397,46030,87309,94122,182967,191581,2016/5/13
398,45409,87793,93437,177359,196409,2016/5/14
399,45708,88176,92088,184551,194122,2016/5/15
400,47080,89890,91516,178469,203379,2016/5/16
401,48474,90845,90999,180947,197665,2016/5/17
402,48789,88889,,,,2016/5/18
403,46967,90222,,,,2016/5/19
404,46303,89804,,,,2016/5/20
405,46035,89213,90400,181371,200780,2016/5/21
406,46425,90574,91110,189066,199651,2016/5/22
407,48024,90143,90104,187882,200790,2016/5/23
408,48691,92107,90055,192302,204321,2016/5/24
409,48200,90935,89120,185358,206497,2016/5/25
410,47692,90357,91082,187452,212358,2016/5/26
411,47998,90880,90222,188912,207075,2016/5/27
