,us,eu,china,korea,taiwan,date
271,35922.0,59957.0,83512.0,175007.0,168861.0,2016/1/8
272,35483.0,59739.0,83808.0,178748.0,169347.0,2016/1/9
273,35011.0,60097.0,83584.0,180267.0,171453.0,2016/1/10
274,36006.0,60359.0,82801.0,183426.0,170125.0,2016/1/11
275,36094.0,60025.0,83450.0,175993.0,176863.0,2016/1/12
276,36007.0,60169.0,83164.0,174900.0,170145.0,2016/1/13
277,35846.0,60251.0,82754.0,174246.0,171783.0,2016/1/14
278,35756.0,60119.0,82929.0,175253.0,169190.0,2016/1/15
279,35134.0,60151.0,82040.0,169423.0,173415.0,2016/1/16
280,35445.0,60957.0,83229.0,183689.0,170253.0,2016/1/17
281,35936.0,61132.0,83495.0,181933.0,169056.0,2016/1/18
282,36916.0,61387.0,83793.0,179978.0,170069.0,2016/1/19
283,36563.0,61479.0,83601.0,177464.0,172192.0,2016/1/20
284,36966.0,61665.0,82881.0,173987.0,170445.0,2016/1/21
285,36262.0,60714.0,83021.0,173360.0,169711.0,2016/1/22
286,36608.0,61547.0,83754.0,172547.0,170723.0,2016/1/23
287,36674.0,61630.0,83711.0,181132.0,168501.0,2016/1/24
288,36383.0,62033.0,83239.0,171684.0,170598.0,2016/1/25
289,37365.0,62015.0,83460.0,174756.0,170005.0,2016/1/26
290,38050.0,62316.0,83156.0,177435.0,168801.0,2016/1/27
291,37644.0,62556.0,83310.0,182194.0,172078.0,2016/1/28
292,36382.0,60508.0,83579.0,179513.0,169737.0,2016/1/29
293,36706.0,61107.0,82796.0,181546.0,168746.0,2016/1/30
294,37197.0,62919.0,83372.0,165914.0,170883.0,2016/1/31
295,37285.0,62660.0,82945.0,181967.0,170298.0,2016/2/1
296,37647.0,62448.0,82127.0,175506.0,169012.0,2016/2/2
297,38624.0,63574.0,82791.0,174150.0,172459.0,2016/2/3
298,38071.0,63078.0,82604.0,178837.0,170193.0,2016/2/4
299,37570.0,62995.0,82445.0,179396.0,168937.0,2016/2/5
300,37538.0,63436.0,82407.0,172828.0,170658.0,2016/2/6
301,36962.0,64030.0,81239.0,168266.0,170638.0,2016/2/7
302,38261.0,64467.0,81102.0,171741.0,169075.0,2016/2/8
303,38557.0,64192.0,80310.0,168236.0,169873.0,2016/2/9
304,37918.0,65628.0,80211.0,166345.0,171140.0,2016/2/10
305,37445.0,66898.0,80691.0,168378.0,172399.0,2016/2/11
306,36975.0,66863.0,80498.0,170972.0,169291.0,2016/2/12
307,37017.0,68718.0,80649.0,170302.0,169659.0,2016/2/13
308,36721.0,68830.0,80826.0,176247.0,170066.0,2016/2/14
309,38045.0,70034.0,80111.0,171319.0,168461.0,2016/2/15
310,38549.0,71092.0,80894.0,170961.0,169023.0,2016/2/16
311,37751.0,70131.0,80850.0,170840.0,171987.0,2016/2/17
312,37687.0,71145.0,81444.0,169841.0,171469.0,2016/2/18
313,36643.0,70219.0,81161.0,170871.0,168934.0,2016/2/19
314,37103.0,71041.0,80606.0,170510.0,173044.0,2016/2/20
315,37005.0,72206.0,80236.0,172447.0,169942.0,2016/2/21
316,38296.0,72393.0,79741.0,180393.0,172703.0,2016/2/22
317,38184.0,72013.0,80225.0,175913.0,171702.0,2016/2/23
318,38887.0,74248.0,81443.0,176934.0,171307.0,2016/2/24
319,38362.0,73663.0,80086.0,186514.0,169014.0,2016/2/25
320,37344.0,71287.0,80485.0,180474.0,168949.0,2016/2/26
321,37094.0,71347.0,80471.0,180545.0,169895.0,2016/2/27
322,38036.0,73583.0,81340.0,184149.0,168641.0,2016/2/28
323,39548.0,72665.0,80002.0,167620.0,171496.0,2016/2/29
324,38231.0,72498.0,80656.0,169703.0,171596.0,2016/3/1
325,38755.0,72340.0,80842.0,167611.0,169896.0,2016/3/2
326,38342.0,73522.0,81431.0,170131.0,169683.0,2016/3/3
327,37611.0,71940.0,81250.0,170117.0,169473.0,2016/3/4
328,37743.0,72716.0,81132.0,170660.0,171115.0,2016/3/5
329,37807.0,73257.0,80788.0,172667.0,169195.0,2016/3/6
330,39066.0,73081.0,80843.0,173311.0,170357.0,2016/3/7
331,39234.0,74046.0,80998.0,169652.0,168832.0,2016/3/8
332,38740.0,75529.0,80424.0,178544.0,168102.0,2016/3/9
333,38432.0,75537.0,80788.0,169664.0,170747.0,2016/3/10
334,38210.0,76288.0,81034.0,169409.0,170463.0,2016/3/11
335,38601.0,76647.0,81049.0,168799.0,168545.0,2016/3/12
336,38878.0,77755.0,81108.0,171537.0,169046.0,2016/3/13
337,39052.0,77953.0,81340.0,171706.0,171029.0,2016/3/14
338,39690.0,79297.5,80600.0,176147.0,169093.0,2016/3/15
339,39349.0,80642.0,81032.0,174235.0,168070.0,2016/3/16
340,39646.0,81986.5,81427.0,173561.0,169989.0,2016/3/17
341,39665.0,83331.0,80088.0,170440.0,168911.0,2016/3/18
342,39089.0,82898.0,81575.0,173224.0,169823.0,2016/3/19
