"Date","Price","Open","High","Low","Change %"
"Dec 22, 2017","6.5774","6.5819","6.5859","6.5694","-0.11%"
"Dec 21, 2017","6.5847","6.5595","6.5885","6.5550","0.09%"
"Dec 20, 2017","6.5785","6.6040","6.6066","6.5758","-0.40%"
"Dec 19, 2017","6.6047","6.6159","6.6185","6.6022","-0.18%"
"Dec 18, 2017","6.6164","6.6122","6.6190","6.6120","0.11%"
"Dec 15, 2017","6.6093","6.6070","6.6117","6.6064","-0.00%"
"Dec 14, 2017","6.6096","6.6046","6.6117","6.6042","-0.12%"
"Dec 13, 2017","6.6174","6.6199","6.6230","6.6164","-0.06%"
"Dec 12, 2017","6.6215","6.6151","6.6235","6.6151","0.04%"
"Dec 11, 2017","6.6186","6.6162","6.6188","6.6150","-0.04%"
"Dec 08, 2017","6.6212","6.6184","6.6219","6.6152","0.03%"
"Dec 07, 2017","6.6193","6.6170","6.6212","6.6145","0.07%"
"Dec 06, 2017","6.6149","6.6173","6.6208","6.6118","-0.06%"
"Dec 05, 2017","6.6191","6.6163","6.6200","6.6126","-0.01%"
"Dec 04, 2017","6.6197","6.6113","6.6212","6.6113","0.03%"
"Dec 01, 2017","6.6174","6.6112","6.6194","6.6082","0.07%"
"Nov 30, 2017","6.6128","6.6143","6.6212","6.6060","0.05%"
"Nov 29, 2017","6.6094","6.6053","6.6119","6.5947","0.03%"
"Nov 28, 2017","6.6076","6.6028","6.6120","6.5938","0.16%"
"Nov 27, 2017","6.5969","6.6000","6.6072","6.5960","-0.08%"
"Nov 24, 2017","6.6022","6.5765","6.6085","6.5762","0.28%"
"Nov 23, 2017","6.5835","6.6131","6.6131","6.5761","-0.40%"
"Nov 22, 2017","6.6102","6.6281","6.6343","6.6092","-0.29%"
"Nov 21, 2017","6.6296","6.6331","6.6450","6.6277","-0.08%"
"Nov 20, 2017","6.6350","6.6295","6.6422","6.6295","0.13%"
"Nov 17, 2017","6.6267","6.6296","6.6373","6.6242","-0.06%"
"Nov 16, 2017","6.6307","6.6235","6.6406","6.6235","0.11%"
"Nov 15, 2017","6.6235","6.6385","6.6388","6.6158","-0.19%"
"Nov 14, 2017","6.6363","6.6397","6.6450","6.6343","-0.06%"
"Nov 13, 2017","6.6405","6.6500","6.6531","6.6386","-0.01%"
"Nov 10, 2017","6.6414","6.6394","6.6465","6.6361","0.02%"
"Nov 09, 2017","6.6403","6.6274","6.6441","6.6266","0.19%"
"Nov 08, 2017","6.6280","6.6411","6.6467","6.6256","-0.18%"
"Nov 07, 2017","6.6400","6.6321","6.6421","6.6224","0.09%"
"Nov 06, 2017","6.6338","6.6387","6.6434","6.6303","-0.08%"
"Nov 03, 2017","6.6390","6.6098","6.6399","6.6066","0.46%"
"Nov 02, 2017","6.6089","6.6039","6.6132","6.5851","0.09%"
"Nov 01, 2017","6.6029","6.6339","6.6385","6.6011","-0.48%"
"Oct 31, 2017","6.6349","6.6461","6.6461","6.6250","-0.17%"
"Oct 30, 2017","6.6465","6.6481","6.6526","6.6445","-0.07%"
"Oct 27, 2017","6.6514","6.6408","6.6632","6.6407","0.13%"
"Oct 26, 2017","6.6426","6.6384","6.6435","6.6319","0.05%"
"Oct 25, 2017","6.6390","6.6375","6.6492","6.6351","0.05%"
"Oct 24, 2017","6.6358","6.6403","6.6403","6.6270","-0.06%"
"Oct 23, 2017","6.6400","6.6205","6.6411","6.6205","0.29%"
"Oct 20, 2017","6.6205","6.6145","6.6271","6.6050","0.08%"
"Oct 19, 2017","6.6151","6.6275","6.6391","6.6126","-0.19%"
"Oct 18, 2017","6.6274","6.6244","6.6290","6.6080","0.06%"
"Oct 17, 2017","6.6235","6.5900","6.6248","6.5899","0.51%"
"Oct 16, 2017","6.5899","6.5799","6.5944","6.5742","0.16%"
"Oct 13, 2017","6.5796","6.5866","6.5886","6.5737","-0.13%"
"Oct 12, 2017","6.5880","6.5896","6.5997","6.5838","-0.03%"
"Oct 11, 2017","6.5902","6.5724","6.6003","6.5724","0.28%"
