Epochs,loss us,accuracy us,loss us,accuracy us,loss eu,accuracy eu,loss eu,accuracy eu,loss china,accuracy china,loss china,accuracy china,loss korea,accuracy korea,loss korea,accuracy korea,loss taiwan,accuracy taiwan,loss taiwan,accuracy taiwan
11,0.6926600933074951,0.5123773813247681,0.7356896996498108,0.0714285746216774,0.661613941192627,0.600653886795044,0.5158519744873047,0.8571428656578064,0.6527625918388367,0.612797737121582,0.9606691002845764,0.4285714328289032,0.513344407081604,0.7417094707489014,0.7017653584480286,0.6428571343421936,0.40333202481269836,0.8089677691459656,1.3754078149795532,0.2857142984867096
12,0.6933264136314392,0.50023353099823,0.7520087361335754,0.0714285746216774,0.6600102782249451,0.6048575639724731,0.5124216675758362,0.8571428656578064,0.6481782793998718,0.6085941195487976,0.9724202156066895,0.4285714328289032,0.4992690086364746,0.7473143339157104,0.7521271109580994,0.6428571343421936,0.3900497257709503,0.8215786814689636,1.4553643465042114,0.2857142984867096
13,0.6927670836448669,0.5086408257484436,0.7440851926803589,0.0714285746216774,0.658762514591217,0.6076599955558777,0.5080258250236511,0.8571428656578064,0.6453240513801575,0.6141989827156067,0.9841074347496033,0.4285714328289032,0.4909161627292633,0.756188690662384,0.7756285667419434,0.6428571343421936,0.37341001629829407,0.8313872218132019,1.4955406188964844,0.2857142984867096
14,0.6931362748146057,0.5058383941650391,0.7571029663085938,0.0714285746216774,0.6604547500610352,0.6015880703926086,0.5110231637954712,0.8571428656578064,0.642225444316864,0.6230733394622803,0.9936323165893555,0.4285714328289032,0.47091081738471985,0.7702008485794067,0.8068066835403442,0.6428571343421936,0.36817291378974915,0.8313872218132019,1.5567643642425537,0.2857142984867096
15,0.693109393119812,0.5207846760749817,0.7590846419334412,0.0714285746216774,0.6559171676635742,0.6179355382919312,0.509694516658783,0.8571428656578064,0.6379512548446655,0.6366183757781982,1.0061372518539429,0.4285714328289032,0.4658372700214386,0.7683325409889221,0.8391651511192322,0.6428571343421936,0.36458098888397217,0.8341896533966064,1.655034065246582,0.2857142984867096
16,0.6923326253890991,0.5184493064880371,0.7746973037719727,0.0714285746216774,0.6565966606140137,0.6081270575523376,0.5047692060470581,0.8571428656578064,0.6345732808113098,0.6314806342124939,1.0201126337051392,0.4285714328289032,0.4451003968715668,0.7809435129165649,0.8913027048110962,0.6428571343421936,0.3570566773414612,0.8365249633789062,1.6195265054702759,0.2857142984867096
17,0.6928132176399231,0.5254554152488708,0.7500231862068176,0.0714285746216774,0.6551604270935059,0.6043904423713684,0.505572497844696,0.8571428656578064,0.6295446157455444,0.6361513137817383,1.0345585346221924,0.4285714328289032,0.43455082178115845,0.7823446989059448,0.9392984509468079,0.7142857313156128,0.3529505133628845,0.8407286405563354,1.7711145877838135,0.2857142984867096
18,0.6922370195388794,0.5184493064880371,0.7728548049926758,0.0714285746216774,0.6526229977607727,0.6207379698753357,0.5000293850898743,0.8571428656578064,0.6274548172950745,0.637085497379303,1.047764539718628,0.4285714328289032,0.41889047622680664,0.7912190556526184,1.0182883739471436,0.7142857313156128,0.32955634593963623,0.8491359353065491,1.7947998046875,0.2857142984867096
19,0.6929973363876343,0.5119103193283081,0.7444137930870056,0.0714285746216774,0.6510214805603027,0.6188696622848511,0.5063337087631226,0.8571428656578064,0.6238722801208496,0.6417561769485474,1.069078803062439,0.4285714328289032,0.3997570872306824,0.8014946579933167,1.0945700407028198,0.7142857313156128,0.31298360228538513,0.8533395528793335,1.8557926416397095,0.2857142984867096
20,0.6914244890213013,0.5361980199813843,0.7508743405342102,0.0714285746216774,0.6509684324264526,0.6179355382919312,0.5004763603210449,0.8571428656578064,0.6210789680480957,0.6445586085319519,1.0847095251083374,0.4285714328289032,0.39834174513816833,0.8024287819862366,1.1763153076171875,0.7142857313156128,0.3069675862789154,0.8552078604698181,1.9658690690994263,0.2857142984867096
