Epochs,loss us,accuracy us,loss us,accuracy us,loss eu,accuracy eu,loss eu,accuracy eu,loss china,accuracy china,loss china,accuracy china,loss korea,accuracy korea,loss korea,accuracy korea,loss taiwan,accuracy taiwan,loss taiwan,accuracy taiwan
10,0.6928087472915649,0.5123773813247681,0.7360767722129822,0.0714285746216774,0.684141993522644,0.5604857802391052,0.646722137928009,0.9285714030265808,0.6597616076469421,0.6099953055381775,0.7038798928260803,0.5714285969734192,0.6101140975952148,0.6543670892715454,0.4675554633140564,0.7857142686843872,0.5541536808013916,0.7202242016792297,1.9560308456420898,0.3571428656578064
11,0.6935685276985168,0.4978981912136078,0.7626041173934937,0.0714285746216774,0.6827865242958069,0.5656235218048096,0.653217613697052,0.9285714030265808,0.6589871644973755,0.6034563183784485,0.7065165638923645,0.5714285969734192,0.6071260571479797,0.6679121851921082,0.4676375091075897,0.7857142686843872,0.5537756085395813,0.7038766741752625,2.051121234893799,0.3571428656578064
12,0.693169116973877,0.5058383941650391,0.7428796887397766,0.0714285746216774,0.6839426755905151,0.5632882118225098,0.6525341868400574,0.9285714030265808,0.658825159072876,0.5959832072257996,0.7081195116043091,0.5714285969734192,0.590783953666687,0.6791219115257263,0.4702414572238922,0.7142857313156128,0.5395781993865967,0.7206912636756897,2.1294400691986084,0.3571428656578064
13,0.6928167343139648,0.5049042701721191,0.7360358238220215,0.0714285746216774,0.6835402846336365,0.5646893978118896,0.6467463374137878,0.9285714030265808,0.6537799835205078,0.6132648587226868,0.7135986089706421,0.6428571343421936,0.5932790637016296,0.6805230975151062,0.46516209840774536,0.7857142686843872,0.5241508483886719,0.7244278192520142,2.147826671600342,0.3571428656578064
14,0.6936119198799133,0.5049042701721191,0.7533759474754333,0.0714285746216774,0.6827334761619568,0.5744978785514832,0.6535094380378723,0.9285714030265808,0.654197096824646,0.6057916879653931,0.7132231593132019,0.6428571343421936,0.584821879863739,0.6847267746925354,0.45998701453208923,0.7857142686843872,0.5169631838798523,0.7356375455856323,2.2225682735443115,0.3571428656578064
15,0.6935003995895386,0.5058383941650391,0.7360321879386902,0.0714285746216774,0.6824643611907959,0.5754320621490479,0.6452195048332214,0.9285714030265808,0.6536769270896912,0.6085941195487976,0.7115432024002075,0.6428571343421936,0.5859490633010864,0.6730499863624573,0.45972713828086853,0.7857142686843872,0.5157514214515686,0.7337692379951477,2.2563817501068115,0.3571428656578064
16,0.6927300095558167,0.5151798129081726,0.7483367323875427,0.0714285746216774,0.6829003095626831,0.5815039873123169,0.6580570340156555,0.9285714030265808,0.6514161825180054,0.6015880703926086,0.7167231440544128,0.6428571343421936,0.5790045261383057,0.6847267746925354,0.4559946060180664,0.7857142686843872,0.49860915541648865,0.7421765327453613,2.237337589263916,0.3571428656578064
17,0.6931873559951782,0.5147127509117126,0.7607483267784119,0.0714285746216774,0.6824207305908203,0.5660905838012695,0.6437674760818481,0.9285714030265808,0.6497339606285095,0.6081270575523376,0.7143993377685547,0.6428571343421936,0.570674479007721,0.6968706250190735,0.4529244303703308,0.7857142686843872,0.498149573802948,0.744044840335846,2.332768201828003,0.3571428656578064
18,0.6927292346954346,0.5077067017555237,0.7314204573631287,0.0714285746216774,0.6821494698524475,0.5646893978118896,0.6574427485466003,0.9285714030265808,0.6468350291252136,0.5987856388092041,0.717405378818512,0.6428571343421936,0.5670039653778076,0.6926670074462891,0.45314374566078186,0.7857142686843872,0.48992598056793213,0.7524521350860596,2.5268466472625732,0.4285714328289032
19,0.693092405796051,0.5095749497413635,0.7488027215003967,0.0714285746216774,0.6801647543907166,0.5782344937324524,0.6479907035827637,0.9285714030265808,0.6460901498794556,0.6099953055381775,0.7209038138389587,0.6428571343421936,0.5649362206459045,0.6945352554321289,0.45108240842819214,0.7857142686843872,0.48797979950904846,0.7468472719192505,2.6352126598358154,0.4285714328289032
